what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382275197843
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382275199203
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1382275199203
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382275201578
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382275201578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382275201656
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382275202578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382275203343
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382275203343
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382275203703
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382275213937
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1382275216062
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382275216281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382275235687
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382275235687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382275235828
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382275237765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382275249015
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382275249031
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382275249140
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382275253890
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382275262765
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382275262765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382275263109
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382275264046
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382275267296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382275267312
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382275267687
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382275318562
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382275320312
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382275512468
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382275514140
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382275648531
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1382275650937
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1382275652937
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382275655953
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382275656046
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1382275656718
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1382275656718
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1382275656718
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1382275660750
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382275665140
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382275666234
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382275666265
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1382275666296
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382275667843
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382275667921
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382275673546
